Nome;Tipo de Produto;Data de vencimento;Prazo até o vencimento;PL;SR;JR;Carteira;Caixa Livre;Fundo de Reserva;R.G.;Saldo em Aplicações;I.S.;I.S. (Tranche);% de Atraso;% de PDD;Rentabilidade Média Ativos %;Desenquadramentos;Próximo Pagamento;Originador;Emissor;Tipo de Oferta Sênior;Tipos de Ativos;Status do Pool
Poenatela Pool #1;Pool;03/01/2028;919.0;R$ 11.169.822,42;R$ 8.176.905,02;R$ 2.992.917,40;R$ 11.080.151,14;R$ 84.335,99;R$ 22.500,00;R$ 1,40;R$ 0,00;26,8%;20,0%;3,2%;17.164,7%;3,8%;;02/02/2027;RM2 SECURITIZADORA S.A;AMFI COMPANHIA SECURITIZADORA DE CREDITOS FINANCEIROS I SA;Oferta Privada;Duplicata;Captação finalizada
Digcap Pool #4;Pool;14/02/2028;961.0;R$ 1.805.991,69;R$ 1.602.163,32;R$ 203.828,37;R$ 1.741.920,17;R$ 49.071,52;R$ 15.000,00;R$ 1,77;R$ 0,00;11,3%;10,0%;;0,0%;3,8%;;14/02/2028;Digcap Intermediação de Créditos Judiciais Ltda	;;Oferta Pública;Ativo Judicial;Captação finalizada
a55 Cartão Pool #2;Pool;14/02/2028;961.0;R$ 11.013.103,76;R$ 9.836.657,52;R$ 1.176.446,24;R$ 10.587.938,14;R$ 453.105,31;R$ 25.000,00;R$ 1,18;R$ 0,00;10,7%;10,0%;8,9%;52.939,7%;1,6%;;14/09/2027;A55 PAYMENTS LTDA;AMFI COMPANHIA SECURITIZADORA DE CREDITOS FINANCEIROS I SA;Oferta Privada;Recebível de Cartão;Em captação
Formento Pool #3;Pool;01/03/2028;977.0;R$ 2.595.194,11;R$ 2.069.036,91;R$ 526.157,20;R$ 2.575.627,78;R$ 13.316,33;R$ 6.250,00;R$ 1,28;R$ 0,00;20,3%;20,0%;1,9%;0,0%;2,3%;;30/06/2025;Formento Securitizadora S.A.;AMFI COMPANHIA SECURITIZADORA DE CREDITOS FINANCEIROS I SA;Oferta Privada;Duplicata;Captação finalizada
AFA Pool #1;Pool;07/03/2028;983.0;R$ 27.103.399,03;R$ 21.101.450,22;R$ 2.284.712,64;R$ 5.637.865,11;R$ 924.335,47;R$ 30.000,00;R$ 0,27;R$ 20.511.198,45;22,1%;25,0%;1,3%;0,0%;2,6%;;07/10/2026;AFA CONSULTORIA DE CREDITO UNIPESSOAL LTDA;AMFI COMPANHIA SECURITIZADORA DE CREDITOS FINANCEIROS I SA;Oferta Privada;Duplicata;Captação finalizada
LeCapital Pool #1;Pool;17/03/2028;993.0;R$ 8.686.273,39;R$ 6.511.481,33;R$ 2.174.792,06;R$ 2.815.789,87;R$ 1.510.642,89;R$ 30.000,00;R$ 0,45;R$ 4.329.840,63;25,0%;25,0%;;0,0%;3,8%;;17/10/2026;LECAPITAL SECURITIZADORA S/A;AMFI COMPANHIA SECURITIZADORA DE CREDITOS FINANCEIROS I SA;Oferta Privada;Duplicata;Captação finalizada
Up Vendas Pool #2;Pool;28/04/2028;1035.0;R$ 3.120.744,46;R$ 2.528.746,09;R$ 591.998,37;R$ 2.876.768,23;R$ 236.540,54;R$ 7.500,00;R$ 1,20;R$ 0,00;19,0%;20,0%;0,0%;0,0%;1,7%;;31/05/2027;Up Vendas;AMFI COMPANHIA SECURITIZADORA DE CREDITOS FINANCEIROS I SA;Oferta Privada;Recebível de Cartão;Captação finalizada
AmFi Renda Mensal #2;Pool;05/06/2028;1073.0;R$ 77.640,21;R$ 22.420,87;R$ 25.551,82;R$ 0,00;R$ 2.388,26;R$ 5.000,00;R$ 0,00;R$ 0,00;;25,0%;;0,0%;;;05/06/2028;AMFI CONSULTING LTDA;;Oferta Pública;Duplicata / CPR / Nota Comercial / CCB / Ativo Judicial;Em captação
 LC INVESTE Private;Pool;31/08/2028;1160.0;R$ 457,80;R$ 0,00;R$ 457,80;R$ 0,00;R$ 457,80;R$ 0,00;;R$ 0,00;100,0%;99,0%;;0,0%;;;;LC Investe LTDA;AMFI COMPANHIA SECURITIZADORA DE CREDITOS FINANCEIROS I SA;Oferta Privada;Ativo Judicial;Captação finalizada
Pool Nexo #2;Pool;31/03/2029;1372.0;R$ 571.771,20;R$ 572.387,61;R$ 0,00;R$ 0,00;R$ 0,01;R$ 0,00;R$ 0,00;R$ 0,00;;0,0%;;0,0%;;;31/03/2029;AMFI CONSULTING LTDA;;Oferta Privada;Recebível de Cartão / CCB / Nota Comercial / CPR / Duplicata / Ativo Judicial;Em captação
AmFi High Yield Pool #1;Pool;18/06/2029;1451.0;R$ 0,00;;;R$ 0,00;;R$ 1.500,00;;R$ 0,00;;;;0,0%;;;;AMFI CONSULTING LTDA;;;CCB / Ativo Judicial / Nota Comercial / Recebível de Cartão / CPR;
ABRL Stake Pool;Pool;;;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;;R$ 0,00;;;;0,0%;;;;AMFI CONSULTING LTDA;;;CCB;
Brás Capital Bridge Loans #1;Pool;;;R$ 0,00;;;R$ 0,00;;R$ 0,00;;R$ 0,00;;;;0,0%;;;;(inoperante agent antigo pool inoperante) Brás Capital LTDA;;Oferta Privada;;
Sector Condo #1;Pool;;;R$ 0,00;;;R$ 0,00;;R$ 0,00;;R$ 0,00;;100,0%;;0,0%;;;;SECTOR TECNOLOGIA EM COBRANCA LTDA;;Oferta Privada;;
AmFi Alta Liquidez;Pool;;;R$ 4.920.906,89;R$ 2.147.251,23;R$ 1.030.803,12;R$ 0,00;R$ 23.422,03;R$ 0,00;R$ 0,00;R$ 0,00;;40,0%;;0,0%;;;;AMFI CONSULTING LTDA;;Oferta Pública;Recebível de Cartão / Nota Comercial / CCB / CPR / Ativo Judicial / Duplicata;Captação finalizada
AmFi Alta Liquidez #2;Pool;;;R$ 3.193.440,13;R$ 1.809.045,21;R$ 477.723,81;R$ 0,00;R$ 14.027,60;R$ 0,00;R$ 0,00;R$ 0,00;;40,0%;;0,0%;;;;AMFI CONSULTING LTDA;;Oferta Pública;Recebível de Cartão / CCB / Nota Comercial / CPR / Duplicata / Ativo Judicial;Em captação
