Nome;Tipo de Produto;Data de vencimento;Prazo até o vencimento;PL;SR;JR;Carteira;Caixa Livre;Fundo de Reserva;R.G.;Saldo em Aplicações;I.S.;I.S. (Tranche);% de Atraso;% de PDD;Rentabilidade Média Ativos %;Desenquadramentos;Próximo Pagamento;Originador;Emissor;Tipo de Oferta Sênior;Tipos de Ativos;Status do Pool
Allya #1;Pool;19/12/2024;-211;R$ 0,00;;;R$ 0,00;;;;R$ 0,00;;1,0%;;0,0%;;"";;ALLYA SERVIÇOS LTDA;AMFI REPRESENTAÇÃO OPERACIONAL LTDA;Oferta Privada;CCB;Produto Encerrado
Conecta Lá Unitoken #43;Unitoken;20/12/2024;-210;R$ 0,00;;;R$ 0,00;;;;R$ 0,00;;;;0,0%;;"";;FULL NINE DIGITAL CONSULTORIA S.A.;AMFI COMPANHIA SECURITIZADORA DE CREDITOS FINANCEIROS I SA;Oferta Pública;Duplicata;Produto Encerrado
Lebasq Unitoken #11;Unitoken;20/12/2024;-210;R$ 0,00;;;R$ 0,00;;;;R$ 0,00;;;;0,0%;;"";;LEBASQ SECURITIZAÇÃO DE CRÉDITOS SA;AMFI COMPANHIA SECURITIZADORA DE CREDITOS FINANCEIROS I SA;;Duplicata;
AFA Unitoken #3;Unitoken;20/12/2024;-210;R$ 0,00;;;R$ 0,00;;;;R$ 0,00;;;;0,0%;;"";;AFA HIGH YIELD CREDIT OPPORTUNITY - FIDC;AMFI COMPANHIA SECURITIZADORA DE CREDITOS FINANCEIROS I SA;Oferta Pública;Duplicata;Produto Encerrado
AFA Unitoken #5;Unitoken;20/12/2024;-210;R$ 0,00;;;R$ 0,00;;;;R$ 0,00;;;;0,0%;;"";;AFA HIGH YIELD CREDIT OPPORTUNITY - FIDC;AMFI COMPANHIA SECURITIZADORA DE CREDITOS FINANCEIROS I SA;Oferta Pública;Duplicata;Produto Encerrado
Formento Unitoken #30;Unitoken;20/12/2024;-210;R$ 0,00;;;R$ 0,00;;;;R$ 0,00;;;;0,0%;;"";;Formento Securitizadora S.A.;AMFI COMPANHIA SECURITIZADORA DE CREDITOS FINANCEIROS I SA;Oferta Pública;Duplicata;Produto Encerrado
AFA Unitoken #7;Unitoken;20/12/2024;-210;R$ 0,00;;;R$ 0,00;;;;R$ 0,00;;;;0,0%;;"";;AFA HIGH YIELD CREDIT OPPORTUNITY - FIDC;AMFI COMPANHIA SECURITIZADORA DE CREDITOS FINANCEIROS I SA;Oferta Pública;Duplicata;Produto Encerrado
AFA Unitoken #4;Unitoken;20/12/2024;-210;R$ 0,00;;;R$ 0,00;;;;R$ 0,00;;;;0,0%;;"";;AFA HIGH YIELD CREDIT OPPORTUNITY - FIDC;AMFI COMPANHIA SECURITIZADORA DE CREDITOS FINANCEIROS I SA;Oferta Pública;Duplicata;Produto Encerrado
AFA Unitoken #8;Unitoken;20/12/2024;-210;R$ 0,00;;;R$ 0,00;;;;R$ 0,00;;;;0,0%;;"";;AFA HIGH YIELD CREDIT OPPORTUNITY - FIDC;AMFI COMPANHIA SECURITIZADORA DE CREDITOS FINANCEIROS I SA;Oferta Pública;Duplicata;Produto Encerrado
Lebasq Unitoken #13;Unitoken;20/12/2024;-210;R$ 0,00;;;R$ 0,00;;;;R$ 0,00;;;;0,0%;;"";;LEBASQ SECURITIZAÇÃO DE CRÉDITOS SA;AMFI COMPANHIA SECURITIZADORA DE CREDITOS FINANCEIROS I SA;;Duplicata;
